image_path,student_id,group,split,aug_type,page_cer,page_wer
images/original/th/71010001.png,71010001,th,original,none,3.5916030534351147,57.0
images/augmented/th/71010001_aug1_rotate_bright.png,71010001,th,augmented,rotate_bright,3.5076335877862594,53.0
images/augmented/th/71010001_aug2_noise.png,71010001,th,augmented,noise,3.622137404580153,58.5
images/augmented/th/71010001_aug3_blur_contrast.png,71010001,th,augmented,blur_contrast,3.484732824427481,42.5
images/augmented/th/71010001_aug4_perspective.png,71010001,th,augmented,perspective,3.9160305343511452,50.5
images/augmented/th/71010001_aug5_jpeg_dark.png,71010001,th,augmented,jpeg_dark,3.618320610687023,57.5
images/original/th/71010005.png,71010005,th,original,none,2.7,40.0
images/augmented/th/71010005_aug1_rotate_bright.png,71010005,th,augmented,rotate_bright,2.7576923076923077,42.0
images/augmented/th/71010005_aug2_noise.png,71010005,th,augmented,noise,2.707692307692308,38.0
images/augmented/th/71010005_aug3_blur_contrast.png,71010005,th,augmented,blur_contrast,2.5846153846153848,35.0
images/augmented/th/71010005_aug4_perspective.png,71010005,th,augmented,perspective,2.8230769230769233,38.0
images/augmented/th/71010005_aug5_jpeg_dark.png,71010005,th,augmented,jpeg_dark,2.7615384615384615,40.5
images/original/th/71010009.png,71010009,th,original,none,14.80373831775701,113.33333333333333
images/augmented/th/71010009_aug1_rotate_bright.png,71010009,th,augmented,rotate_bright,14.663551401869158,119.33333333333333
images/augmented/th/71010009_aug2_noise.png,71010009,th,augmented,noise,14.686915887850468,108.66666666666667
images/augmented/th/71010009_aug3_blur_contrast.png,71010009,th,augmented,blur_contrast,13.47196261682243,105.33333333333333
images/augmented/th/71010009_aug4_perspective.png,71010009,th,augmented,perspective,14.728971962616823,119.33333333333333
images/augmented/th/71010009_aug5_jpeg_dark.png,71010009,th,augmented,jpeg_dark,14.869158878504672,114.66666666666667
images/original/th/71010013.png,71010013,th,original,none,11.106995884773662,97.33333333333333
images/augmented/th/71010013_aug1_rotate_bright.png,71010013,th,augmented,rotate_bright,10.222222222222221,84.0
images/augmented/th/71010013_aug2_noise.png,71010013,th,augmented,noise,11.135802469135802,97.66666666666667
images/augmented/th/71010013_aug3_blur_contrast.png,71010013,th,augmented,blur_contrast,5.539094650205762,50.333333333333336
images/augmented/th/71010013_aug4_perspective.png,71010013,th,augmented,perspective,10.189300411522634,96.66666666666667
images/augmented/th/71010013_aug5_jpeg_dark.png,71010013,th,augmented,jpeg_dark,11.415637860082304,68.66666666666667
images/original/th/71020001.png,71020001,th,original,none,10.044776119402986,142.5
images/augmented/th/71020001_aug1_rotate_bright.png,71020001,th,augmented,rotate_bright,10.126865671641792,147.0
images/augmented/th/71020001_aug2_noise.png,71020001,th,augmented,noise,10.100746268656716,141.5
images/augmented/th/71020001_aug3_blur_contrast.png,71020001,th,augmented,blur_contrast,3.4925373134328357,57.0
images/augmented/th/71020001_aug4_perspective.png,71020001,th,augmented,perspective,9.970149253731343,145.0
images/augmented/th/71020001_aug5_jpeg_dark.png,71020001,th,augmented,jpeg_dark,10.156716417910447,103.5
images/original/th/71020005.png,71020005,th,original,none,2.7913385826771653,37.5
images/augmented/th/71020005_aug1_rotate_bright.png,71020005,th,augmented,rotate_bright,3.2007874015748032,44.5
images/augmented/th/71020005_aug2_noise.png,71020005,th,augmented,noise,2.751968503937008,33.5
images/augmented/th/71020005_aug3_blur_contrast.png,71020005,th,augmented,blur_contrast,2.5078740157480315,25.0
images/augmented/th/71020005_aug4_perspective.png,71020005,th,augmented,perspective,3.4960629921259843,39.5
images/augmented/th/71020005_aug5_jpeg_dark.png,71020005,th,augmented,jpeg_dark,3.2913385826771653,37.0
images/original/th/71020009.png,71020009,th,original,none,13.785123966942148,121.0
images/augmented/th/71020009_aug1_rotate_bright.png,71020009,th,augmented,rotate_bright,13.756198347107437,125.0
images/augmented/th/71020009_aug2_noise.png,71020009,th,augmented,noise,13.78099173553719,122.33333333333333
images/augmented/th/71020009_aug3_blur_contrast.png,71020009,th,augmented,blur_contrast,12.99586776859504,125.33333333333333
images/augmented/th/71020009_aug4_perspective.png,71020009,th,augmented,perspective,13.475206611570249,123.0
images/augmented/th/71020009_aug5_jpeg_dark.png,71020009,th,augmented,jpeg_dark,13.851239669421487,125.33333333333333
images/original/th/71020013.png,71020013,th,original,none,11.971774193548388,87.66666666666667
images/augmented/th/71020013_aug1_rotate_bright.png,71020013,th,augmented,rotate_bright,12.040322580645162,96.66666666666667
images/augmented/th/71020013_aug2_noise.png,71020013,th,augmented,noise,11.983870967741936,89.33333333333333
images/augmented/th/71020013_aug3_blur_contrast.png,71020013,th,augmented,blur_contrast,3.1653225806451615,32.333333333333336
images/augmented/th/71020013_aug4_perspective.png,71020013,th,augmented,perspective,11.15725806451613,93.66666666666667
images/augmented/th/71020013_aug5_jpeg_dark.png,71020013,th,augmented,jpeg_dark,12.036290322580646,90.33333333333333
images/original/th/71030001.png,71030001,th,original,none,7.213768115942029,91.0
images/augmented/th/71030001_aug1_rotate_bright.png,71030001,th,augmented,rotate_bright,7.181159420289855,87.5
