antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"Dog Food 3kg, Pet Shampoo",Dog Treats,0.012236542835481425,0.9630071599045347,22.553381461542635,0.011693983713854949,25.87800728802372
"Dog Food 3kg, Dog Treats",Pet Shampoo,0.012236542835481425,0.5236859182349124,20.767941255317183,0.011647339375925773,2.0465150297579084
Pet Shampoo,"Dog Food 3kg, Dog Treats",0.012236542835481425,0.48526758869512926,20.76794125531718,0.011647339375925773,1.8973621867316641
"Baby Wipes, Diapers Pack",Baby Lotion,0.021152388172858225,0.6732625482625482,20.748441615848158,0.020132919406746098,2.961249682237673
Baby Lotion,"Baby Wipes, Diapers Pack",0.021152388172858225,0.6518691588785047,20.748441615848158,0.020132919406746098,2.782236288422692
"Coffee Beans 250g, Coffee Creamer",Coffee Filter Paper,0.02979529946929492,0.9747023809523809,17.472580055398076,0.028090039034097212,37.324275966641366
Coffee Filter Paper,"Coffee Beans 250g, Coffee Creamer",0.02979529946929492,0.5341125305789617,17.472580055398076,0.028090039034097212,2.080827347898898
"Dog Treats, Pet Shampoo",Dog Food 3kg,0.012236542835481425,0.9758162031438935,17.29510308985213,0.011529027952690053,39.016969673995305
"Coffee Beans 250g, Coffee Filter Paper",Coffee Creamer,0.02979529946929492,0.7423498299962221,16.067598059813207,0.027940927748121725,3.7019122947047327
Coffee Creamer,"Coffee Beans 250g, Coffee Filter Paper",0.02979529946929492,0.6448966196258614,16.067598059813207,0.027940927748121725,2.7030537754053854
"Baby Lotion, Diapers Pack",Baby Wipes,0.021152388172858225,0.9700973574408901,16.010490671478152,0.019831230151727736,31.41557275596379
Baby Wipes,"Baby Lotion, Diapers Pack",0.021152388172858225,0.3490990990990991,16.010490671478152,0.019831230151727736,1.502833382739886
"Conditioner, Shampoo",Hair Treatment Mask,0.02265352539802881,0.6070702966273872,15.404496368825004,0.02118294662312812,2.44469010320093
Hair Treatment Mask,"Conditioner, Shampoo",0.02265352539802881,0.5748364755675259,15.404496368825003,0.02118294662312812,2.2642672667830763
Diapers Pack,"Baby Lotion, Baby Wipes",0.021152388172858225,0.3178400546821599,14.834785283997485,0.019726524045544185,1.4345238012036203
"Baby Lotion, Baby Wipes",Diapers Pack,0.021152388172858225,0.9872611464968152,14.834785283997485,0.019726524045544185,73.27579226686821
"Honey Jar, Lemon 500g",Green Tea Bags,0.013191811978771797,0.894141829393628,14.365080060538311,0.012273486990454437,8.858606475926894
"Toothbrush, Toothpaste",Mouthwash,0.020833965125094767,0.5585365853658536,13.96341463414634,0.019341925701288853,2.1745856353591155
Mouthwash,"Toothbrush, Toothpaste",0.020833965125094767,0.5208491281273692,13.96341463414634,0.019341925701288853,2.0091772151898732
"Green Tea Bags, Lemon 500g",Honey Jar,0.013191811978771797,0.883248730964467,13.935467417968086,0.012245176205237386,8.022342354220918
Salsa Dip,"Beer 6pk, Potato Chips",0.025473843821076574,0.5823223570190642,13.188241567790964,0.02354228655545216,2.28847618118844
"Beer 6pk, Potato Chips",Salsa Dip,0.025473843821076574,0.576923076923077,13.188241567790962,0.02354228655545216,2.260238472672135
"Hair Treatment Mask, Shampoo",Conditioner,0.02265352539802881,0.9473684210526315,13.08733711110621,0.020922575457203604,17.624624715693688
Conditioner,"Hair Treatment Mask, Shampoo",0.02265352539802881,0.31294511939673225,13.08733711110621,0.020922575457203604,1.4206841010373712
Coffee Beans 250g,"Coffee Creamer, Coffee Filter Paper",0.02979529946929492,0.3898036103947629,12.93787020912663,0.027492347052267524,1.5894409259093116
