pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
baseline,รหัสนักศึกษา ⭐,1,0.0,,1.0,0,0,0,0,8
baseline,คำนำหน้า/ชื่อ ⭐,2,0.833333,,0.5,0,0,20,0,24
baseline,สถาบัน/ที่อยู่,2,1.0,,0.0,0,90,0,2,90
baseline,คณะ/หลักสูตร,4,0.825,,0.25,1,65,0,2,80
baseline,วันที่,3,1.0,,0.0,0,30,0,3,30
baseline,สถานะ/เกียรตินิยม,2,1.0,,0.0,0,19,0,2,19
baseline,ปี/ภาค,2,0.0,,1.0,0,0,0,0,5
baseline,GPA/GPS,2,1.0,,0.0,0,8,0,2,8
baseline,หมายเหตุรายภาค,1,0.0,,1.0,0,0,0,0,0
baseline,รหัสวิชา,12,0.5,,0.5,0,48,0,6,96
baseline,ชื่อวิชา,12,0.52381,,0.166667,2,108,0,6,210
baseline,ประเภทวิชา,12,0.0,,1.0,0,0,0,0,0
baseline,หน่วยกิต,12,0.5,,0.5,0,6,0,6,12
baseline,เกรด ⭐,12,0.625,,0.5,0,10,0,6,16
baseline,สรุปผลการศึกษา,5,1.0,,0.6,0,6,0,2,6
baseline,ผู้รับรองท้ายเอกสาร,4,1.0,,0.0,0,83,0,4,83
