image_path,split,group,student_id,aug_type,gt_path,gt_exists
images/original/th/71010001.png,original,th,71010001,none,ground_truth/th/Json_71010001_th.json,True
images/augmented/th/71010001_aug1_rotate_bright.png,augmented,th,71010001,rotate_bright,ground_truth/th/Json_71010001_th.json,True
images/augmented/th/71010001_aug2_noise.png,augmented,th,71010001,noise,ground_truth/th/Json_71010001_th.json,True
images/augmented/th/71010001_aug3_blur_contrast.png,augmented,th,71010001,blur_contrast,ground_truth/th/Json_71010001_th.json,True
images/augmented/th/71010001_aug4_perspective.png,augmented,th,71010001,perspective,ground_truth/th/Json_71010001_th.json,True
images/augmented/th/71010001_aug5_jpeg_dark.png,augmented,th,71010001,jpeg_dark,ground_truth/th/Json_71010001_th.json,True
images/original/th/71010005.png,original,th,71010005,none,ground_truth/th/Json_71010005_th.json,True
images/augmented/th/71010005_aug1_rotate_bright.png,augmented,th,71010005,rotate_bright,ground_truth/th/Json_71010005_th.json,True
images/augmented/th/71010005_aug2_noise.png,augmented,th,71010005,noise,ground_truth/th/Json_71010005_th.json,True
images/augmented/th/71010005_aug3_blur_contrast.png,augmented,th,71010005,blur_contrast,ground_truth/th/Json_71010005_th.json,True
images/augmented/th/71010005_aug4_perspective.png,augmented,th,71010005,perspective,ground_truth/th/Json_71010005_th.json,True
images/augmented/th/71010005_aug5_jpeg_dark.png,augmented,th,71010005,jpeg_dark,ground_truth/th/Json_71010005_th.json,True
images/original/th/71010009.png,original,th,71010009,none,ground_truth/th/Json_71010009_th.json,True
images/augmented/th/71010009_aug1_rotate_bright.png,augmented,th,71010009,rotate_bright,ground_truth/th/Json_71010009_th.json,True
images/augmented/th/71010009_aug2_noise.png,augmented,th,71010009,noise,ground_truth/th/Json_71010009_th.json,True
images/augmented/th/71010009_aug3_blur_contrast.png,augmented,th,71010009,blur_contrast,ground_truth/th/Json_71010009_th.json,True
images/augmented/th/71010009_aug4_perspective.png,augmented,th,71010009,perspective,ground_truth/th/Json_71010009_th.json,True
images/augmented/th/71010009_aug5_jpeg_dark.png,augmented,th,71010009,jpeg_dark,ground_truth/th/Json_71010009_th.json,True
images/original/th/71010013.png,original,th,71010013,none,ground_truth/th/Json_71010013_th.json,True
images/augmented/th/71010013_aug1_rotate_bright.png,augmented,th,71010013,rotate_bright,ground_truth/th/Json_71010013_th.json,True
images/augmented/th/71010013_aug2_noise.png,augmented,th,71010013,noise,ground_truth/th/Json_71010013_th.json,True
images/augmented/th/71010013_aug3_blur_contrast.png,augmented,th,71010013,blur_contrast,ground_truth/th/Json_71010013_th.json,True
images/augmented/th/71010013_aug4_perspective.png,augmented,th,71010013,perspective,ground_truth/th/Json_71010013_th.json,True
